"","HvsN_padj","HvsN_log2FoldChange","HvsL_padj","HvsL_log2FoldChange","LvsN_padj","LvsN_log2FoldChange","HvsN_thr","HvsL_thr","LvsN_thr","WGCNA","cluster","sub_cluster","genes"
"ENSG00000000003",0.0449835908483526,-0.155637265853183,0.420278296412383,-0.0917177068130161,0.532360649585895,-0.0639195590401671,"no","no","no","yes","1","1","TSPAN6"
"ENSG00000000419",0.614330299227303,0.0802100552275513,0.906834529630031,-0.0346751282592798,0.425124661532327,0.114885183486831,"no","no","no","no","no","no","DPM1"
"ENSG00000000457",0.312687703005676,-0.270181545845072,0.553059325102086,-0.226026194747613,0.907201990739739,-0.0441553510974584,"no","no","no","no","no","no","SCYL3"
"ENSG00000000460",0.268004743182313,0.603251000451795,0.879505215384627,0.170910479115109,0.486359314352698,0.432340521336685,"no","no","no","no","no","no","FIRRM"
"ENSG00000000938",NA,-0.206381036596266,NA,0.0601568893863958,NA,-0.266537925982662,"no","no","no","no","no","no","FGR"
"ENSG00000001036",0.900699272436987,-0.02311347645252,0.817455243829296,-0.0550467207415158,0.848807576807318,0.0319332442889959,"no","no","no","no","no","no","FUCA2"
"ENSG00000001084",0.967608121958222,0.0120203112334321,0.875074931365172,-0.0563044448955027,0.747692307178151,0.0683247561289348,"no","no","no","no","no","no","GCLC"
"ENSG00000001167",0.604610259230671,-0.0875394252550739,0.907772847057049,0.0373758644175021,0.41450769205026,-0.124915289672576,"no","no","no","no","no","no","NFYA"
"ENSG00000001460",0.990641134224908,-0.00831176535544564,0.493417689224272,-0.312167496010956,0.399198133106645,0.30385573065551,"no","no","no","no","no","no","STPG1"
"ENSG00000001461",0.907628789666958,-0.033767287063331,0.665877440070565,-0.1277911109025,0.678429229326832,0.0940238238391693,"no","no","no","no","no","no","NIPAL3"
"ENSG00000001497",0.436165721176286,0.0944645405453347,0.753899439143774,0.0645544957919383,0.850907467464528,0.0299100447533965,"no","no","no","no","no","no","LAS1L"
"ENSG00000001561",0.359105833226326,-0.174323484350926,0.999831534511317,-3.92370808511654e-05,0.358393270622865,-0.174284247270075,"no","no","no","no","no","no","ENPP4"
"ENSG00000001617",0.000168842317714191,1.34331408634938,0.179711094461149,0.536426280522137,0.0582838180801278,0.806887805827243,"no","no","no","yes","2","1","SEMA3F"
"ENSG00000001629",0.904531147485135,0.017801377862896,0.781837103845,0.0510886459925363,0.795474781704764,-0.0332872681296403,"no","no","no","no","no","no","ANKIB1"
"ENSG00000001630",0.0185191309334195,0.259523678093825,0.0331846841068692,0.232402687222229,0.887418313685336,0.0271209908715958,"no","no","no","no","no","no","CYP51A1"
"ENSG00000001631",0.631318002314508,-0.140263346299211,0.864154528083748,-0.090579024599247,0.884992915732035,-0.0496843216999637,"no","no","no","no","no","no","KRIT1"
"ENSG00000002016",0.0156612050106152,0.403461089600717,0.889841011343804,0.0602851925518099,0.0515460279557145,0.343175897048907,"no","no","no","no","no","no","RAD52"
"ENSG00000002079",NA,-0.293455331508643,NA,0.333497003810277,NA,-0.626952335318919,"no","no","no","no","no","no","MYH16"
"ENSG00000002330",0.661389610832437,-0.130704547455309,0.709174835617526,-0.15275772423461,0.948260320311716,0.0220531767793004,"no","no","no","no","no","no","BAD"
"ENSG00000002549",0.0424850310406766,-0.270489839453912,0.795575633058811,-0.0784089862523146,0.195454383848711,-0.192080853201597,"no","no","no","no","no","no","LAP3"
"ENSG00000002587",0.00308413060207757,-1.46004606544673,NA,-0.133189344437655,NA,-1.32685672100908,"no","no","no","no","no","no","HS3ST1"
